population,index1,index2,val,indexCDE,indexC,indexD,indexE,ingexF,alco,inv1,inv2,roz1,roz2,salary,mon,tax,import1,import2,unemp1,unemp2
646.1,107.3,109.9,130000,110.4,114.5,111,95.7,98.6,1048.1,22266.1,114.8,60033.4,105.7,54935.5,103.8,22108.6,342.6,122.5,11.9,3.2
641.1,108.6,105.3,139200.00,99.4,107.6,93.9,86.8,86.8,546.4,29698.10,125.5,69919.60,107.9,60180.00,99.6,34792.00,479.4,147.1,8.7,2.4
638.3,104.6,106.1,162002.80,102,102.6,97.1,117.7,94.4,1132.7,33947.20,106.5,78438.80,108.4,67080.10,108.7,29374.00,310.7,93.1,7.1,2.1
635.7,106.7,106.5,167500.00,93.3,101.6,83.2,88.3,107.6,486.3,29979.80,82.2,86819.80,104.5,72633.20,97.8,12222.30,234,75.3,6.4,1.9
633.5,107.5,110.9,185640.40,101.7,100.3,103.2,104.2,98.1,652.1,33399.50,92.9,97333.10,102.6,74523.90,99,10210.00,206.8,88.4,6.3,1.9
631.2,114.4,112.3,194500,99.7,99.2,99.2,103.3,98.7,344.7,32373.10,90.6,103880.90,91.8,75642.50,98.4,17300.00,146.6,70.9,7.3,2.2
628.5,106.5,104.3,233449.80,102.7,103,103.4,99,90.6,360.5,34700.00,97.3,107326.00,96.9,76762.80,93.6,23778.00,187.9,187.9,7.4,2.3
624.8,103.4,102.8,252717.40,103,103,102,106.5,91,100.2,41567.80,110.8,112645.00,101.8,80426.10,99.8,23660.00,250.9,133.5,6.5,2
620.3,103,104.3,270000.00,102.9,100.8,107.6,97.4,101.1,114.5,41237.00,95.8,121317.80,104.7,90725.00,99.5,47800.00,200,79.7,6.2,2
